id,statuses_count,followers_count,friends_count,favourites_count,listed_count,default_profile,default_profile_image,geo_enabled,profile_use_background_image,profile_background_tile,utc_offset,protected,verified,min_tweet_length,max_tweet_length,avg_tweet_length,min_urls,max_urls,avg_urls,min_hashtags,max_hashtags,avg_hashtags,max_mentions,avg_mentions,max_retweets,avg_retweets,min_favorite,max_favorite,avg_favorite,num_reply,num_retweet,digits_name,digits_screen_name,name_length,screen_name_length,screen_name_length_name_length_ratio,name_contains_bot,screen_name_contains_bot,name_entropy,screen_name_entropy,name_screen_name_lev_sim,description_length,description_contains_bot,profile_has_url,profile_pic_frec,friends_followers_ratio,friends_followers_ratio_beq_50,friends_followers_square_ratio,friends_followers+friends_ratio,2_followers_minus_friends,2_followers_beq_100,lists_followers_ratio,retweet_followers_ratio,favorites_followers_ratio,lists_status_ratio,retweet_status_ratio,favorites_status_ratio,reply_status_ratio,avg_urls_status_ratio,avg_mentions_status_ratio,avg_favorite_status_ratio,account_age,followers_account_age_ratio,friends_account_age_ratio,statuses_account_age_ratio,favourites_account_age_ratio,lists_account_age_ratio,class_bot
678033,45825,7065,1822,3804,596,0,0,0,0,1,-14400,0,0,4,148,110.3949922,0,2,0.297652582,0,7,0.368388106,7,1.112989045,21325,75.97026604,0,40,0.52456964,1084,911,0,0,12,6,0.5,0,0,3.418295834,2.251629167,0.666666667,134,0,1,1,0.257891012,0,0.257818027,0.205018566,12308,1,0.084359519,0.128945506,0.538428875,0.013006001,0.019879978,0.083011457,0.02365521,6.50E-06,2.43E-05,1.14E-05,127286,0.055504926,0.014314222,0.360016027,0.029885455,0.004682369,0
722623,11770,1577,678,634,47,0,0,1,1,1,-25200,0,0,3,151,84.8940956,0,2,0.163386442,0,14,0.36051234,7,0.711965011,296689,283.7850672,0,19,0.407060294,899,561,0,0,12,11,0.916666667,0,0,3.418295834,3.277613437,0.956521739,105,0,1,1,0.429930247,0,0.429385687,0.300665188,2476,1,0.029803424,0.355738744,0.402029169,0.003993203,0.047663551,0.05386576,0.076380629,1.39E-05,6.05E-05,3.46E-05,127119,0.012405699,0.005333585,0.092590407,0.004987453,0.000369732,0
755116,39158,623,529,42,37,0,0,0,1,0,32400,0,0,2,158,81.20785291,0,4,0.123714553,0,11,0.040199439,7,0.959177314,13121,32.98971642,0,8,0.162667498,1664,221,0,0,2,8,4,0,0,1,2.5,0,10,0,1,1,0.849117175,0,0.851851852,0.459201389,717,1,0.059390048,0.354735152,0.06741573,0.00094489,0.005643802,0.001072578,0.042494509,3.16E-06,2.45E-05,4.15E-06,126923,0.004908488,0.004167881,0.308517763,0.000330909,0.000291515,0
755746,18035,1620,591,361,72,0,0,1,1,1,-14400,0,0,9,148,84.69851577,0,2,0.46165739,0,5,0.269944341,6,0.682127396,321639,199.1533704,0,7,0.085343228,1122,276,0,0,20,14,0.7,0,0,3.546439345,3.182005815,0.823529412,153,0,1,1,0.364814815,0,0.364364982,0.267299864,2649,1,0.044444444,0.17037037,0.222839506,0.003992237,0.015303576,0.020016634,0.062212365,2.56E-05,3.78E-05,4.73E-06,126899,0.012766058,0.004657247,0.142120899,0.002844782,0.00056738,0
785080,22496,821,552,5897,29,0,0,0,1,0,-14400,0,0,1,157,95.51901082,0,2,0.063987635,0,6,0.051931994,8,0.782380216,16181,43.26306028,0,32,0.513755796,1387,390,0,0,3,8,2.666666667,0,0,1.584962501,2.75,0.181818182,124,0,1,1,0.672350792,0,0.670716889,0.40203933,1090,1,0.035322777,0.475030451,7.182704019,0.001289118,0.017336415,0.262135491,0.061655405,2.84E-06,3.48E-05,2.28E-05,126567,0.006486683,0.004361326,0.177739853,0.046591924,0.000229128,0
806585,29997,558,674,6414,50,0,0,1,1,0,-25200,0,0,11,144,87.89303483,0,2,0.105099502,0,7,0.088308458,5,1.205223881,22063,64.52736318,0,12,0.421641791,2432,443,0,0,17,11,0.647058824,0,0,3.572469459,3.095795255,0.714285714,136,0,1,1,1.207885305,0,1.212230216,0.547077922,442,1,0.089605735,0.79390681,11.49462366,0.001666833,0.014768143,0.213821382,0.081074774,3.50E-06,4.02E-05,1.41E-05,126335,0.004416828,0.005335022,0.237440139,0.050769779,0.000395773,0
806975,28400,8375,503,2497,535,0,0,0,0,0,-25200,0,0,0,149,74.55528104,0,2,0.36287832,0,8,0.200741198,7,0.830142063,37791,59.37677579,0,13,0.19857937,1117,730,0,0,12,11,0.916666667,0,0,3.251629167,3.095795255,0.956521739,157,0,1,1,0.060059701,0,0.060074048,0.056656905,16247,1,0.063880597,0.087164179,0.298149254,0.018838028,0.025704225,0.087922535,0.039330986,1.28E-05,2.92E-05,6.99E-06,126332,0.066293576,0.003981572,0.224804483,0.01976538,0.004234873,0
887281,626,236,300,16,4,0,0,0,1,0,7200,0,0,10,160,87.88498403,0,3,0.143769968,0,6,0.250798722,4,0.714057508,3849,15.73482428,0,4,0.039936102,325,45,0,0,12,4,0.333333333,0,0,3.251629167,2,0.5,18,0,1,1,1.271186441,0,1.260504202,0.559701493,172,1,0.016949153,0.190677966,0.06779661,0.006389776,0.071884984,0.025559105,0.519169329,0.000229664,0.001140667,6.38E-05,126138,0.001870967,0.002378348,0.004962819,0.000126845,3.17E-05,0
1382561,8236,346,1235,1744,10,0,0,1,1,1,-25200,0,0,0,153,80.84836193,0,2,0.152574103,0,11,0.329173167,7,1.08299532,105138,72.30452418,0,12,0.268330733,1327,427,0,0,6,6,1,0,0,1.459147917,1.459147917,1,40,0,1,1,3.569364162,0,3.590116279,0.78115117,-543,1,0.028901734,1.234104046,5.040462428,0.001214182,0.051845556,0.211753278,0.161121904,1.85E-05,0.000131495,3.26E-05,125969,0.002746708,0.009803999,0.065381165,0.013844676,7.94E-05,0
1813221,20225,398,301,8486,21,0,0,0,1,0,-25200,0,0,10,152,100.6501567,0,2,0.328526646,0,5,0.12539185,6,0.845454545,72942,485.0626959,0,7,0.132915361,635,1636,0,0,14,8,0.571428571,0,0,3.128085279,2,0.363636364,75,0,1,1,0.756281407,0,0.76010101,0.430615165,495,1,0.052763819,4.110552764,21.32160804,0.001038319,0.080889988,0.419579728,0.031396786,1.62E-05,4.18E-05,6.57E-06,125872,0.003161942,0.002391318,0.160679103,0.067417694,0.000166836,0
2770511,38140,1098,525,4264,68,0,0,1,0,1,28800,0,0,2,153,75.50528607,0,3,0.201181592,0,6,0.126554726,8,0.979166667,280955,311.050995,0,7,0.19340796,1772,874,0,0,2,5,2.5,0,0,1,2.321928095,0,28,0,1,1,0.478142077,0,0.479014599,0.323475046,1671,1,0.061930783,0.795992714,3.883424408,0.001782905,0.022915574,0.111798637,0.046460409,5.27E-06,2.57E-05,5.07E-06,125701,0.008735014,0.004176578,0.303418429,0.033921767,0.000540966,0
3873101,106335,720,530,12004,65,0,0,1,1,1,32400,0,0,0,144,25.55462446,0,2,0.213531968,0,3,0.04531347,6,0.108938547,20636,8.62352576,0,7,0.250775916,274,22,0,0,14,8,0.571428571,0,0,2.753434386,2.5,0,22,0,1,1,0.736111111,0,0.734072022,0.424,910,1,0.090277778,0.030555556,16.67222222,0.000611276,0.000206893,0.112888513,0.002576762,2.01E-06,1.02E-06,2.36E-06,125432,0.005740162,0.004225397,0.847750175,0.095701256,0.000518209,0
3888491,7621,910,853,804,58,0,0,1,1,1,7200,0,0,0,146,94.11354395,0,3,0.595558336,0,8,0.613074758,9,0.913043478,280955,105.1592118,0,9,0.199249296,1415,268,0,0,14,13,0.928571429,0,0,3.521640636,3.39274741,0.962962963,143,0,1,1,0.937362637,0,0.939427313,0.483834373,967,1,0.063736264,0.294505495,0.883516484,0.00761055,0.035165989,0.105497966,0.185671172,7.81E-05,0.000119806,2.61E-05,125428,0.007255158,0.006800714,0.060759958,0.006410052,0.000462417,0
4121091,44839,2162,792,9428,93,0,0,1,0,0,-18000,0,0,0,156,85.26728682,0,1,0.128682171,0,7,0.155658915,11,1.228837209,280955,180.1010853,0,244,1.285891473,1469,756,0,2,18,6,0.333333333,0,0,3.572431251,2.251629167,0.333333333,136,0,1,1,0.366327475,0,0.366666667,0.268111036,3532,1,0.043015726,0.349676226,4.360777058,0.002074087,0.016860322,0.210263387,0.032761658,2.87E-06,2.74E-05,2.87E-05,125387,0.017242617,0.006316444,0.357604855,0.075191208,0.000741704,0
5445622,25167,699,359,13544,36,0,0,1,1,0,-25200,0,0,2,155,100.8697544,0,3,0.069319242,0,6,0.092011191,7,1.146720547,13196,68.84364315,0,22,0.673919801,1869,625,0,0,12,10,0.833333333,0,0,3.418295834,2.921928095,0.272727273,43,0,0,1,0.513590844,0,0.515064562,0.339319471,1039,1,0.051502146,0.894134478,19.37625179,0.001430445,0.024834108,0.538165057,0.074263917,2.75E-06,4.56E-05,2.68E-05,125081,0.005588379,0.00287014,0.201205619,0.108281833,0.000287813,0
5812422,6641,1471,1977,7841,52,0,0,1,1,0,-25200,0,0,0,152,109.3594527,0,2,0.351679104,0,7,0.928171642,8,1.2664801,56101,250.9458955,0,17,0.249378109,1180,943,0,0,14,13,0.928571429,0,0,3.664497779,3.546593564,0.962962963,99,0,1,1,1.343983685,0,1.345813479,0.57337587,965,1,0.035350102,0.641060503,5.330387492,0.007830146,0.141996687,1.180695678,0.177684084,5.30E-05,0.000190706,3.76E-05,124774,0.011789315,0.015844647,0.053224229,0.062841618,0.000416753,0
5820222,7141,180,327,1533,4,0,0,0,1,1,-18000,0,0,0,148,87.5871731,0,2,0.122976339,0,5,0.375778331,8,1.2250934,43295,268.3704857,0,5,0.113325031,1029,1600,0,1,15,8,0.533333333,0,0,3.640223929,2.75,0.173913043,10,0,0,1,1.816666667,0,1.796703297,0.644970414,33,1,0.022222222,8.888888889,8.516666667,0.000560146,0.224058255,0.214675816,0.144097465,1.72E-05,0.000171558,1.59E-05,124765,0.001442712,0.002620927,0.057235603,0.0122871,3.21E-05,0
5856182,27226,3420,1519,8380,181,0,0,1,1,0,28800,0,0,0,160,100.306326,0,2,0.453723902,0,6,0.235899034,6,1.083515114,96214,102.3546276,0,108,0.352134621,836,1562,0,0,11,5,0.454545455,0,0,3.459431619,2.321928095,0.625,160,0,1,1,0.444152047,0,0.443892461,0.307552136,5321,1,0.052923977,0.456725146,2.450292398,0.006648057,0.05737163,0.30779402,0.030705943,1.67E-05,3.98E-05,1.29E-05,124736,0.027417907,0.012177719,0.218268984,0.067181888,0.001451065,0
6296742,24072,2245,1260,4402,153,0,0,1,1,1,-25200,0,0,0,151,83.7264268,0,2,0.220533499,0,7,0.124379653,11,1.075992556,43566,115.5238834,0,124,0.960918114,1564,658,0,0,10,11,1.1,0,0,2.646439345,3.095795255,0.285714286,136,0,1,1,0.561247216,0,0.560747664,0.359486448,3230,1,0.068151448,0.293095768,1.960801782,0.006355932,0.027334663,0.182868062,0.064971751,9.16E-06,4.47E-05,3.99E-05,124338,0.018055623,0.010133668,0.193601313,0.035403497,0.001230517,0
6775342,1505,66,108,296,3,0,0,0,1,0,-25200,0,0,1,147,81.24617432,0,2,0.027278776,0,10,0.311377246,6,0.842315369,749373,543.8908849,0,9,0.076513639,881,81,0,0,18,7,0.388888889,0,0,3.239097918,2.807354922,0.32,51,0,0,1,1.636363636,0,1.6875,0.620689655,24,1,0.045454545,1.227272727,4.484848485,0.001993355,0.053820598,0.196677741,0.58538206,1.81E-05,0.000559678,5.08E-05,123883,0.000532761,0.00087179,0.01214856,0.002389351,2.42E-05,0
6834152,136700,2135,1799,2361,70,0,0,0,1,0,-25200,0,0,5,150,105.4039363,0,3,0.657606998,0,5,0.226804124,8,1.08028741,43231,173.4554827,0,7,0.03155264,331,2385,0,0,5,5,1,0,0,2.321928095,2.321928095,1,4,0,1,1,0.842622951,0,0.843413033,0.457295374,2471,1,0.032786885,1.117096019,1.105854801,0.00051207,0.017446964,0.017271397,0.002421361,4.81E-06,7.90E-06,2.31E-07,123817,0.01724319,0.014529507,1.104048717,0.019068464,0.00056535,0
7004532,90601,62370,427,16576,1547,0,0,0,1,1,-25200,0,0,5,152,80.55091303,0,3,0.081089446,0,3,0.326524296,7,0.814298979,248,1.61095636,0,201,5.771278242,2003,103,0,0,12,12,1,0,0,3.084962501,3.084962501,1,157,0,1,1,0.00684624,0,0.00684646,0.006799688,124313,1,0.024803591,0.001651435,0.265768799,0.017074867,0.001136853,0.182956038,0.022107924,8.95E-07,8.99E-06,6.37E-05,123666,0.504342341,0.003452849,0.732626591,0.134038458,0.012509501,0
8548002,3396,104,386,73,3,0,0,1,1,0,-18000,0,0,5,152,94.405625,0,2,0.17125,0,7,0.646875,6,0.60375,96112,176.269375,0,8,0.0603125,366,1016,0,0,13,7,0.538461538,0,0,3.546593564,2.807354922,0.6,1,0,0,1,3.711538462,0,3.641509434,0.787755102,-178,1,0.028846154,9.769230769,0.701923077,0.000883392,0.299175501,0.021495878,0.107773852,5.04E-05,0.000177783,1.78E-05,121982,0.000852585,0.003164401,0.027840173,0.000598449,2.46E-05,0
8657052,8652,541,467,483,26,0,0,1,1,1,-25200,0,0,6,148,75.23734568,0,3,0.198148148,0,4,0.15154321,10,0.896604938,7351,8.774382716,0,29,0.356481481,1767,276,0,0,9,10,1.111111111,0,0,2.725480557,2.921928095,0.947368421,157,0,1,1,0.863216266,0,0.860036832,0.463293651,615,1,0.04805915,0.510166359,0.892791128,0.003005086,0.031900139,0.055825243,0.204230236,2.29E-05,0.00010363,4.12E-05,121866,0.004439302,0.003832078,0.070996012,0.00396337,0.000213349,0
8711952,902,144,273,28,5,0,0,1,1,0,28800,0,0,6,140,72.32075472,0,2,0.163152053,0,3,0.041065483,4,0.198668147,58268,79.02885683,0,7,0.05327414,106,34,0,0,8,8,1,0,0,2.75,2.75,1,1,0,1,1,1.895833333,0,1.869863014,0.654676259,15,1,0.034722222,0.236111111,0.194444444,0.005543237,0.037694013,0.031042129,0.11751663,0.000180878,0.000220253,5.91E-05,121814,0.00118213,0.002241122,0.007404732,0.000229859,4.10E-05,0
9272142,23729,606,270,231,39,0,0,1,1,0,-18000,0,0,3,148,100.6446384,0,2,0.086346633,0,5,0.609102244,4,0.48223192,72032,25.97724439,0,25,0.33946384,772,106,0,0,15,6,0.4,0,0,3.373557262,2.251629167,0.571428571,101,0,1,1,0.445544554,0,0.447019868,0.308219178,942,1,0.064356436,0.174917492,0.381188119,0.001643559,0.004467108,0.009734924,0.03253403,3.64E-06,2.03E-05,1.43E-05,121121,0.005003261,0.002229176,0.195911526,0.001907184,0.000321992,0
9427822,36166,828,289,474,57,0,0,1,0,0,3600,0,0,4,148,70.62125425,0,2,0.063639172,0,5,0.047883843,6,0.791473587,49414,123.3660797,0,64,0.187828236,1581,480,0,0,14,13,0.928571429,0,0,3.521640636,3.238901257,0.962962963,110,0,1,1,0.349033816,0,0.348192771,0.258728738,1367,1,0.06884058,0.579710145,0.572463768,0.001576066,0.013272134,0.013106232,0.043715092,1.76E-06,2.19E-05,5.19E-06,120930,0.006846936,0.002389812,0.299065575,0.003919623,0.000471347,0
9605632,8641,393,985,4128,34,0,0,1,1,0,-25200,0,0,0,156,98.03530505,0,3,0.221430784,0,11,0.729018272,9,0.997212759,41350,118.9519975,0,4,0.099411583,653,1083,0,0,13,13,1,0,0,3.39274741,3.39274741,1,155,0,0,1,2.506361323,0,2.493670886,0.714804064,-199,1,0.086513995,2.755725191,10.50381679,0.00393473,0.125332716,0.477722486,0.075569957,2.56E-05,0.000115405,1.15E-05,120715,0.003255602,0.008159715,0.071581825,0.034196247,0.000281655,0
